type,id,text
unmatched_new_text,NT1,"The ""Chainsaw Manufacturing"" process begins with the ""Order received"" event in the Administrative lane, signaling the start of the workflow"
unmatched_new_text,NT2,"Following this, the task ""Extract chainsaw specifications from order"" is performed to gather the necessary details about the order"
unmatched_new_text,NT3,"Once the specifications are extracted, the next step is to ""Create production order in ERP,"" which formalizes the order within the system"
unmatched_new_text,NT5,"The tasks ""Order parts from online source #1,"" ""Order parts from online source #2,"" and ""Order parts from online source #3"" are executed in parallel, ensuring that all necessary components are sourced simultaneously"
unmatched_new_text,NT6,"The process then waits for the events ""Parts from source #1 received,"" ""Parts from source #2 received,"" and ""Parts from source #3 received,"" which indicate that the ordered parts have arrived"
unmatched_new_text,NT7,"Once all parts are received, the process checks whether ""All parts passed manual inspection?"" This decision point leads to two possible branches"
unmatched_new_text,NT8,"If the answer is yes, the process continues to the next decision point, ""Chainsaw type?"" If the answer is no, the process diverts to the task ""Order replacement parts,"" followed by waiting for the event ""Replacement parts received,"" before returning to the inspection check"
unmatched_new_text,NT11,"If it is a combustion engine, the task ""Install combustion engine"" is executed instead"
unmatched_new_text,NT14,""" After this, the process receives ""Customer feedback received,"" leading to the decision point ""Customer approved first chainsaw?"" If the customer approves, the process moves to ""Ship remaining chainsaws to customer,"" culminating in the ""Order fulfilled"" end event"
unmatched_new_text,NT15,"If the customer does not approve, the process takes the alternative path to ""Refund customer,"" which concludes with the ""Order canceled"" end event"
unmatched_new_text,NT16,"Meanwhile, after the first chainsaw is shipped, the task ""Assemble remaining chainsaws"" is performed, which is followed by the event ""Remaining chainsaws produced"
unmatched_new_text,NT17,""" This task is crucial for completing the order, and once it is done, the process can finalize with the shipping of the remaining chainsaws"
unmatched_new_text,NT18,"Throughout the process, the sub-process ""Manually inspect all parts"" is invoked to ensure quality control"
unmatched_new_text,NT19,"This sub-process includes the steps ""Perform visual inspection,"" ""Perform functional test,"" and ""Document inspection results,"" after which the results are sent back to the main flow to determine if all parts passed the manual inspection"
unmatched_new_text,NT20,"In summary, the ""Chainsaw Manufacturing"" process is a structured flow that involves receiving orders, procuring parts, assembling chainsaws, and shipping them to customers, while ensuring quality control and addressing customer feedback effectively"
